Time	Dev_1
0.000000	0.000000
0.002000	0.000000
0.004000	0.000000
0.006000	0.000000
0.008000	0.000000
0.010000	0.000000
0.012000	0.000000
0.014000	0.000000
0.016000	0.000000
0.018000	0.000000
0.020000	0.000000
0.022000	0.000000
0.024000	0.000000
0.026000	0.000000
0.028000	0.000000
0.030000	0.000000
0.032000	0.000000
0.034000	0.000000
0.036000	0.000000
0.038000	0.000000
0.040000	0.000000
0.042000	0.000000
0.044000	0.000000
0.046000	0.000000
0.048000	0.000000
0.050000	0.000000
0.052000	0.000000
0.054000	0.000000
0.056000	0.000000
0.058000	0.000000
0.060000	0.000000
0.062000	0.000000
0.064000	0.000000
0.066000	0.000000
0.068000	0.000000
0.070000	0.000000
0.072000	0.000000
0.074000	0.000000
0.076001	0.000000
0.078001	0.000000
0.080001	0.000000
0.082001	0.000000
0.084001	0.000000
0.086001	0.000000
0.088001	0.000000
0.090001	0.000000
0.092001	0.000000
0.094001	0.000000
0.096001	0.000000
0.098001	0.000000
0.100001	0.000000
0.102001	0.000000
0.104001	0.000000
0.106001	0.000000
0.108001	0.000000
0.110001	0.000000
0.112001	0.000000
0.114001	0.000000
0.116001	0.000000
0.118001	0.000000
0.120001	0.000000
0.122001	0.000000
0.124001	0.000000
0.126001	0.000000
0.128001	0.000000
0.130001	0.000000
0.132001	0.000000
0.134001	0.000000
0.136001	0.000000
0.138001	0.000000
0.140001	0.000000
0.142001	0.000000
0.144001	0.000000
0.146001	0.000000
0.148001	0.000000
0.150001	0.000000
0.152001	0.000000
0.154001	0.000000
0.156001	0.000000
0.158001	0.000000
0.160001	0.000000
0.162001	0.000000
0.164001	0.000000
0.166001	0.000000
0.168001	0.000000
0.170001	0.000000
0.172001	0.000000
0.174001	0.000000
0.176001	0.000000
0.178001	0.000000
0.180001	0.000000
0.182001	0.000000
0.184001	0.000000
0.186001	0.000000
0.188001	0.000000
0.190001	0.000000
0.192001	0.000000
0.194001	0.000000
0.196001	0.000000
0.198001	0.000000
0.200001	0.000000
0.202001	0.000000
0.204001	0.000000
0.206001	0.000000
0.208001	0.000000
0.210001	0.000000
0.212001	0.000000
0.214001	0.000000
0.216001	0.000000
0.218001	0.000000
0.220001	0.000000
0.222001	0.000000
0.224001	0.000000
0.226002	0.000000
0.228002	0.000000
0.230002	0.000000
0.232002	0.000000
0.234002	0.000000
0.236002	0.000000
0.238002	0.000000
0.240002	0.000000
0.242002	0.000000
0.244002	0.000000
0.246002	0.000000
0.248002	0.000000
0.250002	0.000000
0.252002	0.000000
0.254002	0.000000
0.256002	0.000000
0.258002	0.000000
0.260002	0.000000
0.262002	0.000000
0.264002	0.000000
0.266002	0.000000
0.268002	0.000000
0.270002	0.000000
0.272002	0.000000
0.274002	0.000000
0.276002	0.000000
0.278002	0.000000
0.280002	0.000000
0.282002	0.000000
0.284002	0.000000
0.286002	0.000000
0.288002	0.000000
0.290002	0.000000
0.292002	0.000000
0.294002	0.000000
0.296002	0.000000
0.298002	0.000000
0.300002	0.000000
0.302002	0.000000
0.304002	0.000000
0.306002	0.000000
0.308002	0.000000
0.310002	0.000000
0.312002	0.000000
0.314002	0.000000
0.316002	0.000000
0.318002	0.000000
0.320002	0.000000
0.322002	0.000000
0.324002	0.000000
0.326002	0.000000
0.328002	0.000000
0.330002	0.000000
0.332002	0.000000
0.334002	0.000000
0.336002	0.000000
0.338002	0.000000
0.340002	0.000000
0.342002	0.000000
0.344002	0.000000
0.346002	0.000000
0.348002	0.000000
0.350002	0.000000
0.352002	0.000000
0.354002	0.000000
0.356002	0.000000
0.358002	0.000000
0.360002	0.000000
0.362002	0.000000
0.364002	0.000000
0.366002	0.000000
0.368002	0.000000
0.370002	0.000000
0.372002	0.000000
0.374002	0.000000
0.376003	0.000000
0.378003	0.000000
0.380003	0.000000
0.382003	0.000000
0.384003	0.000000
0.386003	0.000000
0.388003	0.000000
0.390003	0.000000
0.392003	0.000000
0.394003	0.000000
0.396003	0.000000
0.398003	0.000000
0.400003	0.000000
0.402003	0.000000
0.404003	0.000000
0.406003	0.000000
0.408003	0.000000
0.410003	0.000000
0.412003	0.000000
0.414003	0.000000
0.416003	0.000000
0.418003	0.000000
0.420003	0.000000
0.422003	0.000000
0.424003	0.000000
0.426003	0.000000
0.428003	0.000000
0.430003	0.000000
0.432003	0.000000
0.434003	0.000000
0.436003	0.000000
0.438003	0.000000
0.440003	0.000000
0.442003	0.000000
0.444003	0.000000
0.446003	0.000000
0.448003	0.000000
0.450003	0.000000
0.452003	0.000000
0.454003	0.000000
0.456003	0.000000
0.458003	0.000000
0.460003	0.000000
0.462003	0.000000
0.464003	0.000000
0.466003	0.000000
0.468003	0.000000
0.470003	0.000000
0.472003	0.000000
0.474003	0.000000
0.476003	0.000000
0.478003	0.000000
0.480003	0.000000
0.482003	0.000000
0.484003	0.000000
0.486003	0.000000
0.488003	0.000000
0.490003	0.000000
0.492003	0.000000
0.494003	0.000000
0.496003	0.000000
0.498003	0.000000
0.500003	0.000000
0.502003	0.000000
0.504003	0.000000
0.506003	0.000000
0.508003	0.000000
0.510003	0.000000
0.512003	0.000000
0.514003	0.000000
0.516003	0.000000
0.518003	0.000000
0.520003	0.000000
0.522003	0.000000
0.524003	0.000000
0.526004	0.000000
0.528004	0.000000
0.530004	0.000000
0.532004	0.000000
0.534004	0.000000
0.536004	0.000000
0.538004	0.000000
0.540004	0.000000
0.542004	0.000000
0.544004	0.000000
0.546004	0.000000
0.548004	0.000000
0.550004	0.000000
0.552004	0.000000
0.554004	0.000000
0.556004	0.000000
0.558004	0.000000
0.560004	0.000000
0.562004	0.000000
0.564004	0.000000
0.566004	0.000000
0.568004	0.000000
0.570004	0.000000
0.572004	0.000000
0.574004	0.000000
0.576004	0.000000
0.578004	0.000000
0.580004	0.000000
0.582004	0.000000
0.584004	0.000000
0.586004	0.000000
0.588004	0.000000
0.590004	0.000000
0.592004	0.000000
0.594004	0.000000
0.596004	0.000000
0.598004	0.000000
0.600004	0.000000
0.602004	0.000000
0.604004	0.000000
0.606004	0.000000
0.608004	0.000000
0.610004	0.000000
0.612004	0.000000
0.614004	0.000000
0.616004	0.000000
0.618004	0.000000
0.620004	0.000000
0.622004	0.000000
0.624004	0.000000
0.626004	0.000000
0.628004	0.000000
0.630004	0.000000
0.632004	0.000000
0.634004	0.000000
0.636004	0.000000
0.638004	0.000000
0.640004	0.000000
0.642004	0.000000
0.644004	0.000000
0.646004	0.000000
0.648004	0.000000
0.650004	0.000000
0.652004	0.000000
0.654004	0.000000
0.656004	0.000000
0.658004	0.000000
0.660004	0.000000
0.662004	0.000000
0.664004	0.000000
0.666004	0.000000
0.668004	0.000000
0.670004	0.000000
0.672004	0.000000
0.674004	0.000000
0.676005	0.000000
0.678005	0.000000
0.680005	0.000000
0.682005	0.000000
0.684005	0.000000
0.686005	0.000000
0.688005	0.000000
0.690005	0.000000
0.692005	0.000000
0.694005	0.000000
0.696005	0.000000
0.698005	0.000000
0.700005	0.000000
0.702005	0.000000
0.704005	0.000000
0.706005	0.000000
0.708005	0.000000
0.710005	0.000000
0.712005	0.000000
0.714005	0.000000
0.716005	0.000000
0.718005	0.000000
0.720005	0.000000
0.722005	0.000000
0.724005	-0.000000
0.726005	-0.000000
0.728005	-0.000000
0.730005	-0.000000
0.732005	-0.000000
0.734005	-0.000000
0.736005	0.000000
0.738005	0.000000
0.740005	0.000000
0.742005	0.000000
0.744005	0.000000
0.746005	0.000000
0.748005	-0.000000
0.750005	-0.000000
0.752005	-0.000000
0.754005	-0.000000
0.756005	-0.000000
0.758005	-0.000000
0.760005	0.000000
0.762005	0.000000
0.764005	0.000000
0.766005	0.000000
0.768005	0.000000
0.770005	0.000000
0.772005	-0.000000
0.774005	-0.000000
0.776005	-0.000000
0.778005	-0.000000
0.780005	-0.000000
0.782005	-0.000000
0.784005	0.000000
0.786005	0.000000
0.788005	0.000000
0.790005	0.000000
0.792005	0.000000
0.794005	0.000000
0.796005	-0.000000
0.798005	-0.000000
0.800005	-0.000000
0.802005	-0.000000
0.804005	-0.000000
0.806005	-0.000000
0.808005	-0.000000
0.810005	0.000000
0.812005	0.000000
0.814005	0.000000
0.816005	0.000000
0.818005	0.000000
0.820005	0.000000
0.822005	0.000000
0.824005	-0.000000
0.826006	-0.000000
0.828006	-0.000000
0.830006	-0.000000
0.832006	-0.000000
0.834006	-0.000000
0.836006	0.000000
0.838006	0.000000
0.840006	0.000000
0.842006	0.000000
0.844006	0.000000
0.846006	0.000000
0.848006	0.000000
0.850006	-0.000000
