Freq	Amp
12.698923	56101.514578
12.748918	43107.075646
12.798914	41442.265978
12.848910	46907.664790
12.898906	51717.064660
12.948901	55014.604793
12.998897	58551.337368
13.048893	62686.171433
13.098889	67186.512099
13.148884	71802.881384
13.198880	75384.456011
13.248876	78027.924718
13.298872	82095.489045
13.348867	88438.314269
13.398863	97563.382706
13.448859	110960.702889
13.498855	132147.715706
13.548851	167365.176697
13.598846	235679.165857
13.648842	353192.590523
13.698838	476572.623435
13.748834	463548.202716
13.798829	368853.591338
13.848825	297353.974454
13.898821	257119.948808
13.948817	240236.770995
13.998812	240183.845392
14.048808	248082.252826
14.098804	246988.021391
14.148800	235267.615759
14.198795	219897.261863
14.248791	200455.543798
14.298787	183876.028453
14.348783	178426.228080
14.398778	199375.526530
14.448774	248583.676300
14.498770	331823.045480
14.548766	466250.454505
14.598761	616443.218813
14.648757	607472.531939
14.698753	492006.301587
14.748749	400164.133101
14.798744	335298.320033
14.848740	292199.899372
14.898736	262192.691826
14.948732	234274.089974
14.998728	205277.063134
15.048723	180991.113568
15.098719	162150.422148
15.148715	144130.280700
15.198711	136069.997363
15.248706	139779.547748
15.298702	149667.973056
15.348698	160836.081209
15.398694	174248.700715
15.448689	188330.071658
15.498685	202205.740766
15.548681	215883.373888
15.598677	216913.037357
15.648672	210750.562478
15.698668	206182.879163
15.748664	200619.991986
15.798660	196003.340233
15.848655	191594.839212
15.898651	184687.206245
15.948647	175655.498555
15.998643	167740.967994
16.048638	163371.114958
16.098634	161868.709947
16.148630	164402.790500
16.198626	169763.890902
16.248621	177369.264260
16.298617	192872.400858
16.348613	215989.607089
16.398609	234407.281250
16.448604	253368.553301
16.498600	260014.587988
16.548596	253163.627799
16.598592	240058.581796
16.648588	224322.371686
16.698583	206613.315671
16.748579	187757.408333
16.798575	178736.713383
16.848571	170164.296875
16.898566	158696.099193
16.948562	148297.747852
16.998558	138020.705338
17.048554	130853.893140
17.098549	131755.281505
17.148545	133106.274910
17.198541	136007.058149
17.248537	145002.997808
17.298532	152208.875661
17.348528	159986.747148
17.398524	173456.725470
17.448520	193771.250623
17.498515	227211.982424
17.548511	278583.377470
17.598507	360714.380699
17.648503	491776.481552
17.698498	635067.894935
17.748494	663962.240745
17.798490	596477.167902
17.848486	526561.514608
17.898481	473903.419954
17.948477	426019.437874
17.998473	378270.342607
18.048469	323418.790504
18.098465	286236.607184
18.148460	274816.497894
18.198456	278254.423242
18.248452	292196.820082
18.298448	316110.557126
18.348443	368338.555133
18.398439	472771.325943
18.448435	596686.918002
18.498431	653041.296011
18.548426	567246.092549
18.598422	457200.472307
18.648418	376835.159003
18.698414	317911.675057
18.748409	271239.018296
18.798405	228520.950906
18.848401	194691.958176
18.898397	164127.378062
18.948392	139899.578504
18.998388	114906.868839
19.048384	103976.806366
19.098380	96963.886764
19.148375	91466.450184
19.198371	86836.106113
19.248367	80526.103549
19.298363	76576.719928
19.348358	76302.157877
19.398354	79701.203565
19.448350	85779.819481
19.498346	86887.785637
19.548342	99716.365543
19.598337	117103.852233
19.648333	141783.354531
19.698329	182447.898858
19.748325	240441.182332
19.798320	316361.272333
19.848316	366011.198766
19.898312	335980.902909
19.948308	273288.445435
19.998303	234003.398223
20.048299	206002.619494
20.098295	186944.198843
20.148291	166701.170021
20.198286	139596.522389
20.248282	110621.430986
20.298278	89489.819902
20.348274	80650.108014
20.398269	79890.499917
20.448265	78728.543944
20.498261	78728.614974
20.548257	80323.476857
20.598252	82931.264681
20.648248	87615.474999
20.698244	87882.667941
20.748240	87141.398389
20.798235	91637.748228
20.848231	96004.188035
20.898227	109087.938025
20.948223	138475.758099
20.998219	187491.067833
21.048214	269752.741598
21.098210	445281.883847
21.148206	742608.438109
21.198202	929322.187736
21.248197	773061.028523
21.298193	642986.289728
21.348189	571347.605072
21.398185	448343.749575
21.448180	341704.919724
21.498176	298391.646045
21.548172	264294.496213
21.598168	265493.097205
21.648163	255152.796671
21.698159	248067.280446
21.748155	270574.940922
21.798151	384982.390016
21.848146	493170.408432
21.898142	552161.071142
21.948138	531881.181900
21.998134	463916.311865
22.048129	406159.666473
22.098125	355835.569779
22.148121	316311.186688
22.198117	279139.604097
22.248112	237402.148212
22.298108	207350.408706
22.348104	166449.752746
22.398100	147458.634285
22.448095	129613.224022
22.498091	128131.427291
22.548087	129181.503390
22.598083	108935.010608
22.648079	114360.596501
22.698074	126297.496910
22.748070	123580.653496
22.798066	118979.912422
22.848062	130273.266659
22.898057	135367.883456
22.948053	141217.605041
22.998049	145236.496312
23.048045	151383.436772
23.098040	157956.836824
23.148036	165962.960346
23.198032	171055.851509
23.248028	178146.275299
23.298023	180312.565851
23.348019	184627.055292
23.398015	181044.766168
23.448011	169230.568609
23.498006	170285.546333
23.548002	173362.220598
23.597998	165061.872456
23.647994	158105.416281
23.697989	160744.645674
23.747985	153697.078354
23.797981	150954.457582
23.847977	148099.351733
23.897972	154761.529347
23.947968	163929.879379
23.997964	186234.521298
24.047960	217328.279413
24.097956	260150.668665
24.147951	292577.331153
24.197947	331421.821331
24.247943	371942.335885
24.297939	407301.971705
24.347934	450323.710049
24.397930	469190.124401
24.447926	470821.320262
24.497922	465112.522022
24.547917	442169.471206
24.597913	399086.670869
24.647909	361159.039099
24.697905	336095.544831
24.747900	338894.420058
24.797896	362163.452939
24.847892	413139.842623
24.897888	480209.882065
24.947883	550579.813914
24.997879	595351.778534
25.047875	595194.295381
25.097871	550095.045208
25.147866	491695.127143
25.197862	430990.846140
25.247858	364905.302403
25.297854	304361.981039
25.347849	246829.561566
25.397845	196206.634523
25.447841	159498.869948
25.497837	138067.387151
25.547833	136590.353740
25.597828	142597.321053
25.647824	151975.567387
25.697820	159295.939799
25.747816	163869.959769
25.797811	165219.493543
25.847807	167843.133620
25.897803	171612.674576
25.947799	184741.310227
25.997794	207095.057145
26.047790	227040.003497
26.097786	242336.999818
26.147782	247334.885398
26.197777	245323.203684
26.247773	242678.997855
26.297769	232503.171526
26.347765	220810.027119
26.397760	207304.099125
26.447756	193109.769579
26.497752	174148.607181
26.547748	159106.354597
26.597743	146113.756809
26.647739	137029.380203
26.697735	131776.831315
26.747731	128783.691230
26.797726	127178.969236
26.847722	130288.296757
26.897718	136695.734420
26.947714	143185.578892
26.997710	152286.753183
27.047705	162480.081926
27.097701	176448.018044
27.147697	193863.312484
27.197693	212514.804057
27.247688	233154.218844
27.297684	255174.481012
27.347680	278113.385006
27.397676	302756.910405
27.447671	328455.851590
27.497667	355263.220802
27.547663	383140.168522
27.597659	406094.276348
27.647654	422485.523744
27.697650	428073.930206
27.747646	425374.804078
27.797642	416995.693744
27.847637	402673.612405
27.897633	379953.683024
27.947629	368950.208252
27.997625	357842.489463
28.047620	360260.895642
28.097616	391402.680717
28.147612	453756.350708
28.197608	547598.247510
28.247603	667979.917632
28.297599	762403.117067
28.347595	737859.426527
28.397591	622814.886466
28.447586	497721.777592
28.497582	389001.990178
28.547578	301634.728643
28.597574	235653.042192
28.647570	184589.785361
28.697565	144683.067439
28.747561	111142.004239
28.797557	79565.536857
28.847553	61121.988157
28.897548	52302.281853
28.947544	49962.491751
28.997540	49494.177027
29.047536	49438.964617
29.097531	51070.678401
29.147527	54703.618670
29.197523	60430.700365
29.247519	67898.888039
29.297514	77180.806774
29.347510	89854.983861
29.397506	108501.186899
29.447502	134259.267352
29.497497	168632.948103
29.547493	217842.569506
29.597489	285643.139351
29.647485	355392.660263
29.697480	375030.678304
29.747476	338566.790603
29.797472	292798.350849
29.847468	254491.677370
29.897463	218088.601112
29.947459	180257.938824
29.997455	146897.532018
30.047451	121541.435262
30.097447	104258.852756
30.147442	91310.831998
30.197438	78677.831858
30.247434	65290.319398
30.297430	53132.183730
30.347425	42756.291326
30.397421	32670.502209
30.447417	28194.965985
30.497413	33879.280674
30.547408	46300.165870
30.597404	62947.737379
30.647400	84706.044888
30.697396	116107.173851
30.747391	167960.893769
30.797387	269378.335944
30.847383	528358.365128
30.897379	1580745.991049
30.947374	1272581.468805
30.997370	881283.947558
31.047366	356232.735620
31.097362	213213.232448
31.147357	154858.784479
31.197353	52358.695355
31.247349	22567.410187
31.297345	45964.354754
31.347340	54089.296099
31.397336	66227.355506
31.447332	89032.687535
31.497328	118844.878487
31.547324	155198.864087
31.597319	202002.907051
31.647315	272278.497822
31.697311	388110.074154
31.747307	508823.686875
31.797302	445539.851417
31.847298	329375.932297
31.897294	260295.954325
31.947290	215672.213193
31.997285	165269.271542
32.047281	111240.987261
32.097277	74252.412848
32.147273	52975.708110
32.197268	39645.536074
32.247264	29668.680102
32.297260	21176.008018
32.347256	14451.812486
32.397251	14449.167059
32.447247	23353.864749
32.497243	34561.849174
32.547239	44528.707645
32.597234	52856.996391
32.647230	60566.110561
32.697226	68851.153964
32.747222	78877.871140
32.797217	91977.539920
32.847213	109850.296449
32.897209	135068.482552
32.947205	171811.177131
32.997201	226837.325751
33.047196	309501.122506
33.097192	420067.285645
33.147188	506137.734988
33.197184	503761.930697
33.247179	460855.888232
33.297175	412516.229117
33.347171	332670.684607
33.397167	243197.843233
33.447162	203201.438674
33.497158	210092.637233
33.547154	250982.465936
33.597150	372461.459023
33.647145	693651.250535
33.697141	945447.411569
33.747137	735355.931967
33.797133	494027.483324
33.847128	286145.837175
33.897124	139574.327021
33.947120	74154.087791
33.997116	46568.041682
34.047111	38211.921193
34.097107	44320.695288
34.147103	51945.369388
34.197099	58722.241632
34.247094	74359.451564
34.297090	95684.666606
34.347086	118083.136702
34.397082	139857.113971
34.447078	161660.146469
34.497073	184675.952496
34.547069	207455.016703
34.597065	223574.992062
34.647061	224245.315968
34.697056	207865.994951
34.747052	181834.995055
34.797048	152443.894705
34.847044	122341.473693
34.897039	94016.237952
34.947035	70455.983222
34.997031	52907.992042
35.047027	40678.176292
35.097022	32457.482922
35.147018	27771.503747
35.197014	28152.755120
35.247010	35464.552398
35.297005	48277.688873
35.347001	64148.956400
35.396997	82332.489981
35.446993	103834.932988
35.496988	131736.881261
35.546984	171887.184844
35.596980	236634.805605
35.646976	356481.948116
35.696971	611760.722198
35.746967	955288.356783
35.796963	784912.437268
35.846959	519904.495743
35.896954	226986.401608
35.946950	103820.227620
35.996946	42408.525091
36.046942	170900.644534
36.096938	228742.482054
36.146933	306179.257191
36.196929	448044.686317
36.246925	594826.831179
36.296921	465909.725015
36.346916	318747.715984
36.396912	229433.156421
36.446908	144209.012515
36.496904	77390.916046
36.546899	41004.649679
36.596895	22587.844594
36.646891	13656.637180
36.696887	13108.922451
36.746882	19249.278390
36.796878	27717.822220
36.846874	36349.595775
36.896870	43263.261735
36.946865	48180.278125
36.996861	51898.187307
37.046857	54807.110623
37.096853	57444.513231
37.146848	60948.863005
37.196844	66632.327277
37.246840	76203.271339
37.296836	92157.990226
37.346831	118020.494653
37.396827	161152.134008
37.446823	244786.406595
37.496819	464004.086454
37.546815	877270.031720
37.596810	531703.432595
37.646806	455291.870676
37.696802	152380.594781
37.746798	62618.936711
37.796793	17660.674439
37.846789	251731.884712
37.896785	396714.478890
37.946781	945556.482365
37.996776	400626.051014
38.046772	263197.750897
38.096768	160240.418880
38.146764	62586.006770
38.196759	38537.782937
38.246755	32184.476358
38.296751	28611.055830
38.346747	29209.851302
38.396742	34250.644402
38.446738	39380.030536
38.496734	36902.426936
38.546730	31680.707096
38.596725	28838.720562
38.646721	32971.568300
38.696717	38291.389417
38.746713	43324.343542
