Freq	Amp
6.379745	0.322552
6.399744	0.321643
6.419743	0.320551
6.439742	0.320430
6.459742	0.322174
6.479741	0.325746
6.499740	0.320123
6.519739	0.324632
6.539738	0.325019
6.559738	0.323985
6.579737	0.319083
6.599736	0.323272
6.619735	0.326263
6.639734	0.324023
6.659734	0.322716
6.679733	0.321957
6.699732	0.324142
6.719731	0.323524
6.739730	0.327422
6.759730	0.323458
6.779729	0.318181
6.799728	0.322560
6.819727	0.325031
6.839726	0.319852
6.859726	0.322513
6.879725	0.325419
6.899724	0.328765
6.919723	0.325822
6.939722	0.322340
6.959722	0.322785
6.979721	0.324197
6.999720	0.325249
7.019719	0.325792
7.039718	0.325284
7.059718	0.329856
7.079717	0.319495
7.099716	0.323449
7.119715	0.330967
7.139714	0.322251
7.159714	0.325485
7.179713	0.329751
7.199712	0.328150
7.219711	0.330288
7.239710	0.330685
7.259710	0.330817
7.279709	0.324428
7.299708	0.330260
7.319707	0.332032
7.339706	0.335808
7.359706	0.325778
7.379705	0.328942
7.399704	0.329643
7.419703	0.328284
7.439702	0.331672
7.459702	0.327492
7.479701	0.331043
7.499700	0.326898
7.519699	0.328364
7.539698	0.330423
7.559698	0.330879
7.579697	0.331810
7.599696	0.323884
7.619695	0.328212
7.639694	0.331714
7.659694	0.329589
7.679693	0.326671
7.699692	0.329819
7.719691	0.336585
7.739690	0.328738
7.759690	0.335734
7.779689	0.335919
7.799688	0.334899
7.819687	0.329455
7.839686	0.336907
7.859686	0.332789
7.879685	0.333068
7.899684	0.331758
7.919683	0.334436
7.939682	0.332483
7.959682	0.333306
7.979681	0.334538
7.999680	0.332499
8.019679	0.333438
8.039678	0.334264
8.059678	0.335528
8.079677	0.334291
8.099676	0.331501
8.119675	0.331932
8.139674	0.336567
8.159674	0.334439
8.179673	0.333105
8.199672	0.333765
8.219671	0.335617
8.239670	0.338948
8.259670	0.335763
8.279669	0.334074
8.299668	0.339057
8.319667	0.337879
8.339666	0.341135
8.359666	0.331993
8.379665	0.333702
8.399664	0.335905
8.419663	0.331762
8.439662	0.341369
8.459662	0.338984
8.479661	0.337786
8.499660	0.338598
8.519659	0.339336
8.539658	0.344873
8.559658	0.349782
8.579657	0.336925
8.599656	0.338638
8.619655	0.334897
8.639654	0.337154
8.659654	0.339282
8.679653	0.339851
8.699652	0.344162
8.719651	0.340553
8.739650	0.340368
8.759650	0.346938
8.779649	0.334352
8.799648	0.337141
8.819647	0.334369
8.839646	0.338799
8.859646	0.344059
8.879645	0.344461
8.899644	0.346035
8.919643	0.342831
8.939642	0.340908
8.959642	0.343265
8.979641	0.342225
8.999640	0.347586
9.019639	0.341832
9.039638	0.344305
9.059638	0.346587
9.079637	0.342891
9.099636	0.345864
9.119635	0.344174
9.139634	0.331958
9.159634	0.345881
9.179633	0.348027
9.199632	0.352167
9.219631	0.344958
9.239630	0.341965
9.259630	0.346174
9.279629	0.347957
9.299628	0.346711
9.319627	0.344030
9.339626	0.345155
9.359626	0.359760
9.379625	0.351752
9.399624	0.349701
9.419623	0.341983
9.439622	0.351643
9.459622	0.343713
9.479621	0.345194
9.499620	0.351359
9.519619	0.350882
9.539618	0.352529
9.559618	0.354245
9.579617	0.351054
9.599616	0.356052
9.619615	0.349996
9.639614	0.350200
9.659614	0.348859
9.679613	0.345052
9.699612	0.355227
9.719611	0.347664
9.739610	0.352913
9.759610	0.352975
9.779609	0.351254
9.799608	0.354227
9.819607	0.357188
9.839606	0.363982
9.859606	0.360842
9.879605	0.358571
9.899604	0.348047
9.919603	0.357449
9.939602	0.359966
9.959602	0.363024
9.979601	0.357267
9.999600	0.356473
10.019599	0.361241
10.039598	0.358698
10.059598	0.362501
10.079597	0.348630
10.099596	0.355613
10.119595	0.364139
10.139594	0.358629
10.159594	0.351362
10.179593	0.350200
10.199592	0.366454
10.219591	0.353576
10.239590	0.357163
10.259590	0.365632
10.279589	0.352934
10.299588	0.361654
10.319587	0.363303
10.339586	0.361598
10.359586	0.346062
10.379585	0.358234
10.399584	0.367586
10.419583	0.366165
10.439582	0.360826
10.459582	0.360570
10.479581	0.361406
10.499580	0.364020
10.519579	0.361447
10.539578	0.361065
10.559578	0.368410
10.579577	0.369892
10.599576	0.367061
10.619575	0.361166
10.639574	0.360250
10.659574	0.359524
10.679573	0.369336
10.699572	0.364725
10.719571	0.373671
10.739570	0.371109
10.759570	0.362899
10.779569	0.368102
10.799568	0.379235
10.819567	0.379075
10.839566	0.361972
10.859566	0.370206
10.879565	0.369187
10.899564	0.374463
10.919563	0.368808
10.939562	0.371931
10.959562	0.365792
10.979561	0.367213
10.999560	0.373072
11.019559	0.371067
11.039558	0.363564
11.059558	0.372741
11.079557	0.376509
11.099556	0.357764
11.119555	0.383778
11.139554	0.369829
11.159554	0.366024
11.179553	0.380433
11.199552	0.365011
11.219551	0.378446
11.239550	0.364244
11.259550	0.379467
11.279549	0.372852
11.299548	0.373806
11.319547	0.373612
11.339546	0.372294
11.359546	0.375525
11.379545	0.380022
11.399544	0.375553
11.419543	0.383596
11.439542	0.383251
11.459542	0.382735
11.479541	0.381781
11.499540	0.381013
11.519539	0.372878
11.539538	0.376335
11.559538	0.377068
11.579537	0.376869
11.599536	0.377250
11.619535	0.380082
11.639534	0.380444
11.659534	0.373368
11.679533	0.385473
11.699532	0.387823
11.719531	0.381200
11.739530	0.385008
11.759530	0.383603
11.779529	0.384657
11.799528	0.385994
11.819527	0.380856
11.839526	0.383319
11.859526	0.371485
11.879525	0.390556
11.899524	0.386506
11.919523	0.383886
11.939522	0.391208
11.959522	0.383491
11.979521	0.385475
11.999520	0.390349
12.019519	0.378012
12.039518	0.383267
12.059518	0.389974
12.079517	0.393726
12.099516	0.397774
12.119515	0.399421
12.139514	0.391240
12.159514	0.382301
12.179513	0.388433
12.199512	0.382603
12.219511	0.395959
12.239510	0.395388
12.259510	0.396492
12.279509	0.388336
12.299508	0.398033
12.319507	0.392139
12.339506	0.391014
12.359506	0.394709
12.379505	0.390482
12.399504	0.397872
12.419503	0.396746
12.439502	0.401310
12.459502	0.396215
12.479501	0.393924
12.499500	0.397330
12.519499	0.391052
12.539498	0.398753
12.559498	0.393656
12.579497	0.406964
12.599496	0.400526
12.619495	0.391116
12.639494	0.392994
12.659494	0.394953
12.679493	0.406102
12.699492	0.401044
12.719491	0.396816
12.739490	0.409876
12.759490	0.387948
12.779489	0.390143
12.799488	0.400849
12.819487	0.399760
12.839486	0.405786
12.859486	0.401965
12.879485	0.399842
12.899484	0.410253
12.919483	0.401796
12.939482	0.401497
12.959482	0.405981
12.979481	0.410669
12.999480	0.404911
13.019479	0.412039
13.039478	0.412533
13.059478	0.418356
13.079477	0.415832
13.099476	0.412876
13.119475	0.404338
